,number,position,term,ward,district,candidates,candidate_count
358,4,member of council,,,PLEASANT HILLS,"['Marian L. Haley', 'Justin Horvat', 'Cheryl Lee S. Freedman', 'Eileen Solinas', 'Robert D. Karcher', 'Jarrett Niecgorski']",6
359,1,constable,,,PLEASANT HILLS,['Derek Schmotzer'],1
360,1,mayor,,,PLUM,"['Shawn Marcellino', 'Harry R. Schlegel']",2
361,1,tax collector,,,PLUM,['Lisa A. Lagnese'],1
362,4,member of council,,,PLUM,"['David Odom', 'Jennifer Lynn Pusateri', 'Justin Michael Tuskan', 'Michael Creighton', 'David Seitz', 'Michael J. Dell', 'Steven Robert Taylor', 'Paul Dern', 'Mike Doyle']",9
363,1,constable,,,PLUM,"['Albert Cafazzo', 'Nathan Polacek']",2
364,1,mayor,,,PORT VUE,['Brien A. Hranics'],1
365,1,tax collector,,,PORT VUE,['Kenneth J. Hresko'],1
366,4,member of council,4,,PORT VUE,"['Doug Junecko', 'Robert Betters', 'Mark D. Tortorice', 'Deborah Thomas', 'Kenneth J. Hresko']",5
367,1,member of council,2,,PORT VUE,"['Doug Junecko', 'Robert Betters', 'Mark D. Tortorice', 'Deborah Thomas', 'Kenneth J. Hresko']",5
368,1,constable,,,PORT VUE,"['John J. Borkowski, Jr.']",1
369,1,mayor,,,RANKIN,['Joelisa L. McDonald'],1
370,1,tax collector,,,RANKIN,['Sheila L. Miles'],1
374,1,tax collector,,,RESERVE,['none'],0
376,2,constable,,,RESERVE,"['Paul A. Yuretich', 'William Crowell, Sr.']",2
378,1,constable,,,RICHLAND,['none'],0
379,1,tax collector,,,ROBINSON,['Michael Pendel'],1
